reflection_id,dev_id,date,prompt_id,prompt_text,answer_text,insight_tags,depth_score_manual,privacy_ok
R0001,D006,2025-07-31,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что короткий перерыв помогает.",фокус,,True
R0002,D044,2025-06-28,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что разговор с коллегой отвлёк.",цели,,True
R0003,D002,2025-06-30,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что дыхание выравнивает фокус — попробую завтра снова.",граница-раб-лич,,True
R0004,D036,2025-06-05,P5,Что бы ты сделал(а) иначе в следующий раз?,"Кажется, лучше записать следующий шаг и это сэкономит время.",перерыв,,False
R0005,D028,2025-06-21,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что разговор с коллегой отвлёк.","граница-раб-лич,перерыв",,True
R0006,D049,2025-07-18,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что стоит закрыть лишние вкладки и стало легче.",граница-раб-лич,,True
R0007,D044,2025-06-20,P5,Что бы ты сделал(а) иначе в следующий раз?,"Кажется, лучше записать следующий шаг и это сэкономит время.",перерыв,,True
R0008,D031,2025-06-11,P5,Что бы ты сделал(а) иначе в следующий раз?,"Кажется, стоит закрыть лишние вкладки и это ок.",благодарность,,True
R0009,D020,2025-07-14,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что дыхание выравнивает фокус и стало легче.",благодарность,,False
R0010,D035,2025-07-06,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Сегодня понял(а), что короткий перерыв помогает и это сэкономит время.","сон,музыка",,True
R0011,D011,2025-06-12,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, разговор с коллегой отвлёк — сделаю в течение часа.","перерыв,граница-раб-лич,фокус",,True
R0012,D049,2025-07-30,P5,Что бы ты сделал(а) иначе в следующий раз?,"Почувствовал(а), что музыка мешала и стало легче.","граница-раб-лич,благодарность",,True
R0013,D047,2025-07-08,P4,За что ты благодарен(на) в работе сегодня?,"Замечаю, дыхание выравнивает фокус и это ок.","музыка,граница-раб-лич",,True
R0014,D013,2025-06-21,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что разговор с коллегой отвлёк — сделаю в течение часа.","музыка,перерыв",,True
R0015,D037,2025-07-07,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что музыка мешала — попробую завтра снова.","цели,граница-раб-лич",,True
R0016,D046,2025-07-18,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что лучше записать следующий шаг и это сэкономит время.","музыка,граница-раб-лич",,False
R0017,D023,2025-07-20,P3,Какая одна маленькая вещь поможет следующему шагу?,"Стоит помнить, что дыхание выравнивает фокус и это ок.","граница-раб-лич,план",,True
R0018,D035,2025-06-13,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что стоит закрыть лишние вкладки.","граница-раб-лич,музыка,фокус",,True
R0019,D038,2025-07-08,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что стоит закрыть лишние вкладки — сделаю в течение часа.","сон,фокус,перерыв",,False
R0020,D042,2025-07-20,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что разговор с коллегой отвлёк и это ок.","цели,граница-раб-лич",,True
R0021,D030,2025-07-03,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что стоит закрыть лишние вкладки и стало легче.",цели,,True
R0022,D040,2025-07-14,P2,Что получилось хорошо за последние 2–3 часа?,"Замечаю, стоит закрыть лишние вкладки — сделаю в течение часа.","благодарность,сон,граница-раб-лич",,True
R0023,D048,2025-07-17,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, короткий перерыв помогает и стало легче.","фокус,граница-раб-лич",,True
R0024,D024,2025-06-15,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, лучше записать следующий шаг и это сэкономит время.","сон,перерыв,благодарность",,True
R0025,D003,2025-07-12,P3,Какая одна маленькая вещь поможет следующему шагу?,"Сегодня понял(а), что стоит закрыть лишние вкладки — сделаю в течение часа.",перерыв,,True
R0026,D025,2025-07-12,P4,За что ты благодарен(на) в работе сегодня?,"Сегодня понял(а), что лучше записать следующий шаг — попробую завтра снова.","граница-раб-лич,перерыв",,False
R0027,D023,2025-07-23,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что стоит закрыть лишние вкладки — попробую завтра снова.","план,перерыв",,False
R0028,D011,2025-06-15,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Замечаю, короткий перерыв помогает и это ок.","перерыв,граница-раб-лич,цели",,True
R0029,D043,2025-06-15,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, лучше записать следующий шаг — попробую завтра снова.","граница-раб-лич,сон",,True
R0030,D042,2025-07-24,P4,За что ты благодарен(на) в работе сегодня?,"Почувствовал(а), что короткий перерыв помогает — сделаю в течение часа.",сон,,True
R0031,D009,2025-07-11,P5,Что бы ты сделал(а) иначе в следующий раз?,"Почувствовал(а), что короткий перерыв помогает и это ок.",благодарность,,True
R0032,D034,2025-06-26,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что дыхание выравнивает фокус — попробую завтра снова.","фокус,музыка,цели",,False
R0033,D039,2025-07-01,P4,За что ты благодарен(на) в работе сегодня?,"Кажется, стоит закрыть лишние вкладки — попробую завтра снова.",сон,,True
R0034,D040,2025-07-13,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что лучше записать следующий шаг — сделаю в течение часа.","благодарность,музыка",,True
R0035,D015,2025-06-25,P4,За что ты благодарен(на) в работе сегодня?,"Почувствовал(а), что короткий перерыв помогает — сделаю в течение часа.",граница-раб-лич,,False
R0036,D010,2025-07-09,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Стоит помнить, что стоит закрыть лишние вкладки и стало легче.",план,,True
R0037,D006,2025-07-01,P2,Что получилось хорошо за последние 2–3 часа?,"Кажется, стоит закрыть лишние вкладки и это сэкономит время.","фокус,цели,музыка",,True
R0038,D003,2025-07-15,P5,Что бы ты сделал(а) иначе в следующий раз?,"Кажется, лучше записать следующий шаг и это ок.","сон,цели",,True
R0039,D028,2025-06-09,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что музыка мешала — сделаю в течение часа.","сон,цели",,False
R0040,D017,2025-06-13,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что стоит закрыть лишние вкладки и стало легче.","фокус,перерыв,цели",,False
R0041,D042,2025-06-14,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, лучше записать следующий шаг.","музыка,фокус",,True
R0042,D017,2025-07-25,P5,Что бы ты сделал(а) иначе в следующий раз?,"Сегодня понял(а), что разговор с коллегой отвлёк и это сэкономит время.","музыка,перерыв",,True
R0043,D027,2025-07-06,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что стоит закрыть лишние вкладки и это сэкономит время.","благодарность,план",,True
R0044,D020,2025-07-07,P3,Какая одна маленькая вещь поможет следующему шагу?,"Почувствовал(а), что разговор с коллегой отвлёк — попробую завтра снова.","цели,музыка,граница-раб-лич",,False
R0045,D045,2025-07-31,P2,Что получилось хорошо за последние 2–3 часа?,"Стоит помнить, что лучше записать следующий шаг и это ок.",сон,,True
R0046,D011,2025-06-25,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Кажется, стоит закрыть лишние вкладки и это сэкономит время.",благодарность,,True
R0047,D005,2025-06-17,P2,Что получилось хорошо за последние 2–3 часа?,"Почувствовал(а), что разговор с коллегой отвлёк и это сэкономит время.","граница-раб-лич,перерыв",,False
R0048,D040,2025-07-12,P5,Что бы ты сделал(а) иначе в следующий раз?,"Замечаю, разговор с коллегой отвлёк и это сэкономит время.","фокус,цели",,False
R0049,D001,2025-06-13,P5,Что бы ты сделал(а) иначе в следующий раз?,"Стоит помнить, что стоит закрыть лишние вкладки — сделаю в течение часа.","сон,фокус",,True
R0050,D040,2025-06-11,P1,О чём ты сейчас беспокоишься? Что можно отпустить?,"Почувствовал(а), что короткий перерыв помогает и стало легче.","сон,музыка",,True
R0051,D050,2025-06-26,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, стоит закрыть лишние вкладки и стало легче.","цели,сон,перерыв",,True
R0052,D006,2025-07-06,P3,Какая одна маленькая вещь поможет следующему шагу?,"Замечаю, стоит закрыть лишние вкладки — попробую завтра снова.","музыка,благодарность,цели",,False
